,valid_from,changeset_id,changeset_tags
14768,2014-05-13 18:07:28+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14769,2014-05-12 17:13:38+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14770,2014-05-12 16:49:28+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14771,2014-05-13 17:38:15+02:00,22315479,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen lankforst', 'created_by': 'JOSM/1.5 (7000 en)'}"
14772,2014-05-12 17:13:33+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14773,2014-05-13 17:38:29+02:00,22315479,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen lankforst', 'created_by': 'JOSM/1.5 (7000 en)'}"
14774,2014-05-12 16:50:06+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14775,2014-05-12 17:13:28+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14776,2014-05-12 17:13:09+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14777,2014-05-12 16:50:05+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14778,2014-05-12 17:13:09+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14779,2014-05-12 16:50:03+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14780,2014-05-12 16:50:12+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14781,2014-05-13 17:38:15+02:00,22315479,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen lankforst', 'created_by': 'JOSM/1.5 (7000 en)'}"
14782,2014-05-12 16:50:41+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14783,2014-05-12 16:50:53+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14784,2019-06-03 11:49:17+02:00,70879283,"{'source': 'BAG; PDOK', 'comment': 'BAG Update; road details', 'created_by': 'JOSM/1.5 (15031 en)'}"
14785,2019-06-03 11:49:17+02:00,70879283,"{'source': 'BAG; PDOK', 'comment': 'BAG Update; road details', 'created_by': 'JOSM/1.5 (15031 en)'}"
14786,2017-05-17 11:02:27+02:00,48756245,"{'host': 'https://www.openstreetmap.org/edit', 'created_by': 'iD 2.2.1', 'locale': 'nl', 'comment': 'gebouwen zijn verwoest door brand en zijn gesloopt , er komt nieuwbouw. http://www.gelderlander.nl/nijmegen/sloop-afgebrand-winkelcentrum-weezenhof-gestart~a1328ac3/', 'imagery_used': 'PDOK Luchtfoto Beeldmateriaal 25cm'}"
14787,2021-06-30 21:58:40+02:00,107226495,"{'source': 'Survey; PDOK Luchtfoto - 2021_quick_orthoHR; BGT omtrekgericht; BAG', 'comment': 'Wegdekken, trottoirs, voetpaden toegevoegd; uitlijning; overlappende gebouwen opgelost', 'created_by': 'JOSM/1.5 (17919 nl)'}"
14788,2014-07-25 20:43:39+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14789,2014-07-25 20:44:21+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14790,2014-07-25 20:43:45+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14791,2014-07-25 20:43:53+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14792,2014-07-25 20:43:13+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14793,2014-07-25 20:43:12+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14794,2014-07-25 20:43:51+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14795,2014-07-25 15:32:46+02:00,24349958,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14796,2014-07-25 20:44:13+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14797,2014-07-25 20:43:38+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14798,2014-07-25 20:44:09+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14799,2014-07-25 20:44:08+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14800,2014-07-25 20:43:00+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14801,2014-07-25 20:44:25+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14802,2014-07-25 20:43:27+02:00,24355338,"{'source': 'BAG 2014-07-25', 'comment': 'BAG Import Wijchen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14803,2014-07-24 16:22:41+02:00,24330029,"{'source': 'BAG 2014-07-24', 'comment': 'BAG Import Beuningen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14804,2014-07-24 11:48:23+02:00,24326886,"{'source': 'BAG 2014-07-24', 'comment': 'BAG Import Weurt', 'created_by': 'JOSM/1.5 (7287 en)'}"
14805,2014-07-24 16:22:05+02:00,24330029,"{'source': 'BAG 2014-07-24', 'comment': 'BAG Import Beuningen', 'created_by': 'JOSM/1.5 (7287 en)'}"
14806,2014-07-24 16:26:24+02:00,24330029,"{'source': 'BAG 2014-07-24', 'comment': 'BAG Import Beuningen', 'created_by': 'JOSM/1.5 (7287 en)'}"
