,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,geometry,comments
15296,15224,2013-09-01 02:32:40+00:00,17612349,"{'Lat': '32.5117', 'Long': '74.75864', 'Place': 'Panjgirain', 'Sl_No': '24711.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14249,14177,2013-09-01 02:32:22+00:00,17612349,"{'Lat': '32.47802', 'Long': '74.92699', 'Place': 'Jugwal', 'Sl_No': '38010.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14250,14178,2013-09-01 02:32:24+00:00,17612349,"{'Lat': '32.4824', 'Long': '74.9145', 'Place': 'Bamun Chak', 'Sl_No': '38013.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14251,14179,2013-09-01 02:32:25+00:00,17612349,"{'Lat': '32.48656', 'Long': '74.7818', 'Place': 'Dinga', 'Sl_No': '38026.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14252,14180,2013-09-01 02:32:28+00:00,17612349,"{'Lat': '32.49482', 'Long': '74.7823', 'Place': 'Shahpur', 'Sl_No': '38023.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14253,14181,2013-09-01 02:32:29+00:00,17612349,"{'Lat': '32.49576', 'Long': '74.95504', 'Place': 'Chak Rukwal', 'Sl_No': '38003.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14254,14182,2013-09-01 02:32:36+00:00,17612349,"{'Lat': '32.50278', 'Long': '74.79722', 'Place': 'Chak Wazira', 'Sl_No': '24636.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14255,14183,2013-09-01 02:32:41+00:00,17612349,"{'Lat': '32.51478', 'Long': '74.88089', 'Place': 'Nandpur', 'Sl_No': '24692.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14256,14184,2013-09-01 02:32:43+00:00,17612349,"{'Lat': '32.51848', 'Long': '74.93158', 'Place': 'Chak Balotran', 'Sl_No': '24666.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14257,14185,2013-09-01 02:32:44+00:00,17612349,"{'Lat': '32.52361', 'Long': '74.81806', 'Place': 'Sohagpur', 'Sl_No': '24706.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14258,14186,2013-09-01 02:32:48+00:00,17612349,"{'Lat': '32.53633', 'Long': '74.77486', 'Place': 'Kaleana', 'Sl_No': '24719.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14259,14187,2013-09-01 02:32:51+00:00,17612349,"{'Lat': '32.54297', 'Long': '74.83908', 'Place': 'Chak Majra', 'Sl_No': '24698.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14260,14188,2013-09-01 02:32:55+00:00,17612349,"{'Lat': '32.54862', 'Long': '74.87499', 'Place': 'Bamnal', 'Sl_No': '24735.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14261,14189,2013-09-01 02:33:00+00:00,17612349,"{'Lat': '32.55836', 'Long': '74.75691', 'Place': 'Maggowali', 'Sl_No': '24721.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
13215,13143,2013-09-01 02:33:07+00:00,17612349,"{'Lat': '32.57149', 'Long': '74.99054', 'Place': 'Kamala', 'Sl_No': '24755.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
